V3.3.7.0 Spectrometer Data File
******************************************************
Spectrometer	_Tristan exUV-VIS-NIR (SN 1035)_200_1100_1035
Spectrum Name	200_1100_1035_11
Date of Measurement	2008-4-24 0:42:34
Number of Bands	1368
Spectrum Type	Irradiance
Integration Time (msec)	43,475
Cycles/Average	3
Resolution	3
Background Correction	FALSE
Dark Correction	TRUE
************ Start Spectral data *********************
Index	X:200_1100_1035_11	Y:200_1100_1035_11
0	300,3	0,04652
1	300,8	0,04847
2	301,4	0,05041
3	302	0,04258
4	302,6	0,04055
5	303,1	0,04011
6	303,7	0,03968
7	304,3	0,03949
8	304,8	0,04138
9	305,4	0,04327
10	306	0,04053
11	306,5	0,03947
12	307,1	0,0384
13	307,7	0,03548
14	308,2	0,03526
15	308,8	0,03636
16	309,4	0,03746
17	309,9	0,03426
18	310,5	0,03572
19	311,1	0,03718
20	311,6	0,0374
21	312,2	0,03762
22	312,8	0,03766
23	313,4	0,03614
24	313,9	0,03628
25	314,5	0,03642
26	315,1	0,03415
27	315,7	0,03187
28	316,2	0,03146
29	316,8	0,03158
30	317,4	0,03171
31	318	0,03269
32	318,5	0,03367
33	319,1	0,03396
34	319,7	0,03424
35	320,3	0,03331
36	320,8	0,03371
37	321,4	0,03412
38	322	0,03498
39	322,6	0,03584
40	323,1	0,03032
41	323,7	0,03402
42	324,3	0,03388
43	324,9	0,03374
44	325,4	0,03302
45	326	0,0323
46	326,6	0,03152
47	327,2	0,03073
48	327,7	0,02984
49	328,3	0,03172
50	328,9	0,03359
51	329,5	0,03338
52	330	0,03697
53	330,6	0,03475
54	331,2	0,03252
55	331,8	0,02957
56	332,3	0,03026
57	332,9	0,03095
58	333,5	0,03088
59	334,1	0,03081
60	334,6	0,03334
61	335,2	0,03128
62	335,8	0,03033
63	336,4	0,02994
64	336,9	0,03422
65	337,5	0,02838
66	338,1	0,03151
67	338,7	0,02893
68	339,2	0,0329
69	339,8	0,03028
70	340,4	0,03314
71	341	0,03158
72	341,6	0,03116
73	342,1	0,03075
74	342,7	0,0322
75	343,3	0,03365
76	343,9	0,03505
77	344,4	0,03644
78	345	0,03418
79	345,6	0,03387
80	346,2	0,03356
81	346,7	0,03109
82	347,3	0,03123
83	347,9	0,03137
84	348,5	0,03431
85	349	0,03175
86	349,6	0,03266
87	350,2	0,03357
88	350,8	0,0315
89	351,3	0,03094
90	351,9	0,03104
91	352,5	0,03113
92	353,1	0,03212
93	353,6	0,03524
94	354,2	0,03398
95	354,8	0,03273
96	355,4	0,03267
97	355,9	0,03262
98	356,5	0,03544
99	357,1	0,03188
100	357,7	0,03056
101	358,2	0,02924
102	358,8	0,03053
103	359,4	0,03183
104	360	0,02999
105	360,5	0,03255
106	361,1	0,02873
107	361,7	0,03257
108	362,3	0,02942
109	362,8	0,02875
110	363,4	0,02808
111	364	0,02931
112	364,6	0,03054
113	365,1	0,03287
114	365,7	0,03153
115	366,3	0,03018
116	366,9	0,02738
117	367,5	0,02695
118	368	0,02717
119	368,6	0,02739
120	369,2	0,02773
121	369,8	0,02807
122	370,4	0,02562
123	370,9	0,02553
124	371,5	0,02617
125	372,1	0,02681
126	372,7	0,02684
127	373,3	0,02687
128	373,8	0,02473
129	374,4	0,02378
130	375	0,02428
131	375,6	0,02478
132	376,2	0,0244
133	376,7	0,02401
134	377,3	0,02261
135	377,9	0,02139
136	378,5	0,02016
137	379,1	0,01893
138	379,6	0,01908
139	380,2	0,01923
140	380,8	0,01893
141	381,4	0,01744
142	382	0,01752
143	382,5	0,01759
144	383,1	0,0182
145	383,7	0,01773
146	384,3	0,01726
147	384,9	0,01689
148	385,4	0,01653
149	386	0,01632
150	386,6	0,01611
151	387,2	0,01599
152	387,8	0,01587
153	388,3	0,01509
154	388,9	0,01505
155	389,5	0,01606
156	390,1	0,01708
157	390,7	0,01645
158	391,2	0,01788
159	391,8	0,01604
160	392,4	0,01705
161	393	0,01806
162	393,6	0,01843
163	394,1	0,0188
164	394,7	0,01881
165	395,3	0,01882
166	395,9	0,02037
167	396,5	0,02193
168	397	0,02075
169	397,6	0,01997
170	398,2	0,02022
171	398,8	0,02046
172	399,4	0,02364
173	399,9	0,02682
174	400,5	0,02563
175	401,1	0,0231
176	401,7	0,02638
177	402,3	0,02436
178	402,8	0,0249
179	403,4	0,02545
180	404	0,03079
181	404,6	0,03262
182	405,2	0,03299
183	405,7	0,03336
184	406,3	0,03359
185	406,9	0,03687
186	407,5	0,03874
187	408	0,03829
188	408,6	0,03945
189	409,2	0,04061
190	409,8	0,04103
191	410,4	0,04335
192	410,9	0,0479
193	411,5	0,04878
194	412,1	0,04966
195	412,7	0,05109
196	413,2	0,0515
197	413,8	0,05479
198	414,4	0,05635
199	415	0,05827
200	415,6	0,0602
201	416,1	0,06191
202	416,7	0,06362
203	417,3	0,06942
204	417,9	0,06954
205	418,4	0,06965
206	419	0,07317
207	419,6	0,07459
208	420,2	0,08179
209	420,8	0,084
210	421,3	0,08361
211	421,9	0,08716
212	422,5	0,09072
213	423,1	0,09442
214	423,6	0,0969
215	424,2	0,09868
216	424,8	0,1005
217	425,4	0,1028
218	425,9	0,1067
219	426,5	0,1066
220	427,1	0,1067
221	427,7	0,1067
222	428,3	0,1086
223	428,8	0,1148
224	429,4	0,1195
225	430	0,1263
226	430,6	0,1408
227	431,1	0,1399
228	431,7	0,1443
229	432,3	0,1486
230	432,9	0,1546
231	433,5	0,158
232	434	0,16
233	434,6	0,1615
234	435,2	0,1628
235	435,8	0,1641
236	436,3	0,169
237	436,9	0,1771
238	437,5	0,1914
239	438,1	0,19
240	438,7	0,191
241	439,2	0,1919
242	439,8	0,1938
243	440,4	0,1945
244	441	0,1977
245	441,6	0,1989
246	442,1	0,2016
247	442,7	0,2037
248	443,3	0,2179
249	443,9	0,2204
250	444,5	0,2228
251	445	0,2279
252	445,6	0,2291
253	446,2	0,2347
254	446,8	0,2398
255	447,4	0,2454
256	447,9	0,2459
257	448,5	0,2464
258	449,1	0,2428
259	449,7	0,2411
260	450,3	0,2455
261	450,8	0,25
262	451,4	0,2622
263	452	0,2631
264	452,6	0,2678
265	453,2	0,2706
266	453,7	0,2753
267	454,3	0,2775
268	454,9	0,2796
269	455,5	0,2789
270	456,1	0,2819
271	456,6	0,2848
272	457,2	0,2868
273	457,8	0,2875
274	458,4	0,2881
275	459	0,2884
276	459,5	0,2928
277	460,1	0,288
278	460,7	0,294
279	461,3	0,3
280	461,9	0,3119
281	462,4	0,3101
282	463	0,3044
283	463,6	0,2902
284	464,2	0,2927
285	464,8	0,2951
286	465,3	0,2929
287	465,9	0,2927
288	466,5	0,2949
289	467,1	0,2972
290	467,7	0,2902
291	468,2	0,2742
292	468,8	0,2704
293	469,4	0,2666
294	470	0,2587
295	470,5	0,2577
296	471,1	0,2584
297	471,7	0,2592
298	472,3	0,2593
299	472,9	0,2659
300	473,4	0,2656
301	474	0,2664
302	474,6	0,2673
303	475,2	0,268
304	475,8	0,2701
305	476,3	0,2848
306	476,9	0,2879
307	477,5	0,291
308	478,1	0,2969
309	478,7	0,3054
310	479,2	0,298
311	479,8	0,2987
312	480,4	0,2993
313	481	0,3143
314	481,6	0,3198
315	482,1	0,3128
316	482,7	0,314
317	483,3	0,3152
318	483,9	0,3062
319	484,5	0,3109
320	485	0,3156
321	485,6	0,3138
322	486,2	0,3175
323	486,8	0,3212
324	487,4	0,309
325	487,9	0,3084
326	488,5	0,3077
327	489,1	0,292
328	489,7	0,2744
329	490,3	0,2683
330	490,8	0,2656
331	491,4	0,2629
332	492	0,253
333	492,6	0,235
334	493,2	0,2313
335	493,7	0,2296
336	494,3	0,2295
337	494,9	0,2293
338	495,5	0,2252
339	496,1	0,2231
340	496,6	0,2252
341	497,2	0,2273
342	497,8	0,2157
343	498,4	0,2049
344	499	0,1956
345	499,5	0,1906
346	500,1	0,1894
347	500,7	0,1883
348	501,3	0,1815
349	501,9	0,1823
350	502,4	0,1832
351	503	0,187
352	503,6	0,1834
353	504,2	0,1963
354	504,8	0,2091
355	505,3	0,1808
356	505,9	0,1782
357	506,5	0,1756
358	507,1	0,1746
359	507,6	0,1633
360	508,2	0,1604
361	508,8	0,1599
362	509,4	0,1593
363	510	0,1518
364	510,5	0,1437
365	511,1	0,1434
366	511,7	0,1456
367	512,3	0,1478
368	512,9	0,1409
369	513,4	0,1412
370	514	0,1415
371	514,6	0,1417
372	515,2	0,1418
373	515,8	0,1371
374	516,3	0,1338
375	516,9	0,1327
376	517,5	0,1315
377	518,1	0,1194
378	518,7	0,1141
379	519,2	0,1106
380	519,8	0,1033
381	520,4	0,09651
382	521	0,09529
383	521,6	0,09248
384	522,1	0,08966
385	522,7	0,08759
386	523,3	0,08551
387	523,9	0,08054
388	524,5	0,07823
389	525	0,07792
390	525,6	0,0776
391	526,2	0,07312
392	526,8	0,06155
393	527,4	0,05968
394	527,9	0,0578
395	528,5	0,05313
396	529,1	0,05173
397	529,7	0,05108
398	530,3	0,0448
399	530,8	0,04108
400	531,4	0,03982
401	532	0,03855
402	532,6	0,03759
403	533,2	0,03694
404	533,7	0,03471
405	534,3	0,0348
406	534,9	0,03488
407	535,5	0,03668
408	536,1	0,03847
409	536,6	0,02713
410	537,2	0,02601
411	537,8	0,02314
412	538,4	0,02573
413	539	0,0244
414	539,5	0,02306
415	540,1	0,0216
416	540,7	0,02189
417	541,3	0,02218
418	541,9	0,0219
419	542,4	0,02162
420	543	0,02128
421	543,6	0,0228
422	544,2	0,01938
423	544,8	0,01922
424	545,3	0,01907
425	545,9	0,01781
426	546,5	0,01469
427	547,1	0,01472
428	547,7	0,01476
429	548,2	0,01544
430	548,8	0,01611
431	549,4	0,01393
432	550	0,01414
433	550,6	0,01436
434	551,2	0,0153
435	551,8	0,01625
436	552,3	0,01564
437	552,9	0,01421
438	553,5	0,0129
439	554,1	0,01373
440	554,7	0,01456
441	555,3	0,01085
442	555,8	0,01027
443	556,4	0,01131
444	557	0,01022
445	557,6	0,0101
446	558,2	0,0108
447	558,8	0,01151
448	559,4	0,01184
449	559,9	0,01137
450	560,5	0,01091
451	561,1	0,01063
452	561,7	0,01275
453	562,3	0,01226
454	562,9	0,01242
