V3.3.7.0 Spectrometer Data File
******************************************************
Spectrometer	_Tristan exUV-VIS-NIR (SN 1035)_200_1100_1035
Spectrum Name	200_1100_1035_5
Date of Measurement	2008-4-24 0:30:57
Number of Bands	1368
Spectrum Type	Irradiance
Integration Time (msec)	34,78
Cycles/Average	3
Resolution	3
Background Correction	FALSE
Dark Correction	TRUE
************ Start Spectral data *********************
Index	X:200_1100_1035_5	Y:200_1100_1035_5
284	464,2	1,36
285	464,8	1,388
286	465,3	1,394
287	465,9	1,396
288	466,5	1,438
289	467,1	1,467
290	467,7	1,442
291	468,2	1,396
292	468,8	1,388
293	469,4	1,38
294	470	1,332
295	470,5	1,333
296	471,1	1,335
297	471,7	1,387
298	472,3	1,398
299	472,9	1,396
300	473,4	1,398
301	474	1,399
302	474,6	1,421
303	475,2	1,433
304	475,8	1,445
305	476,3	1,469
306	476,9	1,492
307	477,5	1,515
308	478,1	1,565
309	478,7	1,547
310	479,2	1,507
311	479,8	1,498
312	480,4	1,523
313	481	1,549
314	481,6	1,579
315	482,1	1,538
316	482,7	1,548
317	483,3	1,558
318	483,9	1,507
319	484,5	1,532
320	485	1,557
321	485,6	1,558
322	486,2	1,58
323	486,8	1,603
324	487,4	1,612
325	487,9	1,599
326	488,5	1,585
327	489,1	1,559
328	489,7	1,494
329	490,3	1,495
330	490,8	1,495
331	491,4	1,508
332	492	1,485
333	492,6	1,423
334	493,2	1,436
335	493,7	1,448
336	494,3	1,512
337	494,9	1,534
338	495,5	1,552
339	496,1	1,568
340	496,6	1,641
341	497,2	1,687
342	497,8	1,67
343	498,4	1,648
344	499	1,6
345	499,5	1,611
346	500,1	1,623
347	500,7	1,618
348	501,3	1,622
349	501,9	1,626
350	502,4	1,677
351	503	1,747
352	503,6	1,727
353	504,2	1,736
354	504,8	1,745
355	505,3	1,792
356	505,9	1,782
357	506,5	1,772
358	507,1	1,744
359	507,6	1,657
360	508,2	1,649
361	508,8	1,663
362	509,4	1,678
363	510	1,659
364	510,5	1,566
365	511,1	1,577
366	511,7	1,589
367	512,3	1,642
368	512,9	1,626
369	513,4	1,644
370	514	1,662
