I	U	I_err	U_err			mrjen A
0.0087	4.18	0.00024	0.1			8.7
0.0112	5.38	0.00024	0.1			11.2
0.0136	6.45	0.00024	0.1			13.6
0.0157	7.48	0.00024	0.1			15.7
0.0185	8.77	0.00024	0.1			18.5
0.02	9.47	0.00024	0.1			20
0.0224	10.58	0.00024	0.1			22.4
0.0252	11.87	0.00024	0.1			25.2
0.0238	11.25	0.00024	0.1			23.8
