I	U	I_err	U_err			mrjen I
0.0064	3.1	0.00036	0.16			6.4
0.0087	4.23	0.00036	0.16			8.7
0.0107	5.25	0.00036	0.16			10.7
0.0126	6.08	0.00036	0.16			12.6
0.0161	7.75	0.00036	0.16			16.1
0.0191	9.16	0.00036	0.16			19.1
0.0211	10.15	0.00036	0.16			21.1
0.0234	11.2	0.00036	0.16			23.4
0.0249	11.95	0.00036	0.16			24.9
0.0243	11.62	0.00036	0.16			24.3
