"Latest: Time (s)";"Latest: Position (m)";"Latest: Velocity (m/s)";"Latest: Acceleration (m/s²)"
0,05;0,009531;-0,707566666667;0,787100802469
0,1;-0,026408;-0,680685833333;1,18646493827
0,15;-0,061447;-0,618989666667;1,8294687963
0,2;-0,090894;-0,506834444444;2,62817256173
0,25;-0,113624;-0,350556666667;3,35359466049
0,3;-0,127421;-0,159773888889;3,80069024691
0,35;-0,130139;0,0445111111111;3,88923117284
0,4;-0,122591;0,241737222222;3,65249320988
0,45;-0,105314;0,420927777778;3,1209367284
0,5;-0,079174;0,565728333333;2,30103117284
0,55;-0,046663;0,659674444444;1,2688882716
0,6;-0,010932;0,696502222222;0,129212962963
0,65;0,025336;0,673352222222;-1,03371234568
0,7;0,058695;0,591497777778;-2,1429154321
0,75;0,086792;0,453102777778;-3,09025432099
0,8;0,105852;0,269801111111;-3,73150216049
0,85;0,114577;0,064775;-4,0011537037
0,9;0,112517;-0,144953888889;-3,90035679012
0,95;0,099447;-0,339046666667;-3,45190401235
1;0,07734;-0,501335555556;-2,71789382716
1,05;0,047581;-0,619734444444;-1,75909351852
1,1;0,013149;-0,682662777778;-0,66192345679
1,15;-0,022929;-0,688117222222;0,486564506173
1,2;-0,058158;-0,632165555556;1,58843888889
1,25;-0,088262;-0,522573888889;2,5343
1,3;-0,111979;-0,371476111111;3,28677592593
1,35;-0,126936;-0,183994444444;3,77844845679
1,4;-0,131074;0,0205038888889;3,92516450617
1,45;-0,124772;0,222856111111;3,7178845679
1,5;-0,107963;0,404931666667;3,18983796296
1,55;-0,082879;0,551843888889;2,40232808642
1,6;-0,051008;0,653351111111;1,40722962963
1,65;-0,015294;0,698282222222;0,271633024691
1,7;0,021216;0,682641111111;-0,913634567901
1,75;0,055458;0,604796111111;-2,04156944444
1,8;0,083918;0,471404444444;-2,99224444444
1,85;0,104329;0,294516666667;-3,66632716049
1,9;0,114438;0,0909527777778;-3,99445833333
1,95;0,113729;-0,120177777778;-3,94393950617
2;0,101853;-0,317761111111;-3,53442191358
2,05;0,080768;-0,485482222222;-2,82436080247
2,1;0,051546;-0,609265;-1,88477191358
2,15;0,017684;-0,679049444444;-0,809572222222
2,2;-0,018532;-0,692746666667;0,327476851852
2,25;-0,054037;-0,645705555556;1,44392345679
2,3;-0,085319;-0,542986111111;2,43091728395
2,35;-0,110092;-0,394955555556;3,22082839506
2,4;-0,126313;-0,210329444444;3,74024320988
2,45;-0,131853;-0,0074;3,9250441358
2,5;-0,127058;0,195917777778;3,76693271605
2,55;-0,111564;0,382020555556;3,28775493827
2,6;-0,087518;0,53494;2,54164722222
2,65;-0,056426;0,64493;1,57415740741
2,7;-0,020817;0,699439444444;0,439507716049
2,75;0,016074;0,690815;-0,746391358025
2,8;0,050593;0,622522777778;-1,87757098765
2,85;0,080594;0,497421111111;-2,85973148148
2,9;0,102199;0,326212222222;-3,58252098765
2,95;0,114387;0,125528888889;-3,96778209877
3;0,115148;-0,0854238888889;-3,98220308642
3,05;0,105454;-0,286852777778;-3,63918395062
3,1;0,085424;-0,461938333333;-2,97969320988
3,15;0,057553;-0,594657777778;-2,07202469136
3,2;0,023882;-0,675128888889;-1,00770771605
3,25;-0,012195;-0,698558888889;0,134040123457
3,3;-0,048411;-0,661235;1,26147654321
3,35;-0,080541;-0,567726666667;2,27402839506
3,4;-0,107063;-0,426504444444;3,09847746914
3,45;-0,124721;-0,247363333333;3,65711481481
3,5;-0,13258;-0,0480394444444;3,89427993827
3,55;-0,129776;0,155843888889;3,79578024691
3,6;-0,116307;0,344675;3,38017037037
3,65;-0,093785;0,499573888889;2,7670941358
3,7;-0,065809;0,630658333333;1,91105154321
3,75;-0,028538;0,70728;0,718326234568
3,8;0,008457;0,704571666667;-0,542592283951
3,85;0,043894;0,646691666667;-1,69060524691
3,9;0,075366;0,531088888889;-2,70490740741
3,95;0,099031;0,366911111111;-3,47736666667
4;0,113348;0,170020555556;-3,9251962963
4,05;0,116516;-0,039875;-4,01509104938
4,1;0,109193;-0,245373333333;-3,75188858025
4,15;0,091085;-0,4282;-3,15897530864
4,2;0,064824;-0,572196666667;-2,29391049383
4,25;0,03181;-0,664911666667;-1,24370524691
4,3;-0,003973;-0,699615;-0,111884876543
4,35;-0,040465;-0,675783888889;1,01494135802
4,4;-0,073825;-0,594526111111;2,05298055556
4,45;-0,1018;-0,464754444444;2,93750462963
4,5;-0,122089;-0,291573888889;3,58505493827
4,55;-0,131974;-0,092935;3,90781080247
4,6;-0,131628;0,112776666667;3,89098611111
4,65;-0,120323;0,309031666667;3,54584907407
4,7;-0,099688;0,47902;2,90500925926
4,75;-0,070864;0,609538888889;2,01351635802
4,8;-0,036622;0,687342777778;0,94418117284
4,85;0,000113;0,707818333333;-0,222805555556
4,9;0,03664;0,665841111111;-1,40175679012
4,95;0,069117;0,563579444444;-2,47509537037
5;0,095084;0,409363333333;-3,32705987654
5,05;0,111496;0,218465;-3,87056820988
5,1;0,117676;0,00853111111111;-4,06358611111
5,15;0,112448;-0,202929444444;-3,88095493827
5,2;0,096556;-0,394165;-3,33930308642
5,25;0,071489;-0,547740555556;-2,51826944444
5,3;0,039912;-0,653473888889;-1,50191882716
5,35;0,003922;-0,702965555556;-0,363755246914
5,4;-0,032883;-0,690465555556;0,791085802469
5,45;-0,067385;-0,620456666667;1,86530740741
5,5;-0,097005;-0,497851111111;2,7842382716
5,55;-0,118835;-0,333234444444;3,47678981481
5,6;-0,131541;-0,138643888889;3,87796018519
5,65;-0,133186;0,0681983333333;3,93927222222
5,7;-0,124478;0,268926111111;3,66001790123
5,75;-0,105366;0,446645;3,06886234568
5,8;-0,078222;0,585070555556;2,23482623457
5,85;-0,045105;0,677634444444;1,20877345679
5,9;-0,008127;0,7117;0,0464453703704
5,95;0,028539;0,683658888889;-1,14746296296
6;0,062694;0,594011666667;-2,26476574074
6,05;0,09015;0,449203333333;-3,18194691358
6,1;0,10921;0,264125555556;-3,80463950617
6,15;0,117606;0,0538794444444;-4,0606617284
6,2;0,114594;-0,157491111111;-3,93363858025
6,25;0,101161;-0,352268888889;-3,47551049383
6,3;0,078188;-0,516212777778;-2,73169197531
6,35;0,047737;-0,634996111111;-1,75318055556
6,4;0,012387;-0,696671666667;-0,640092592593
6,45;-0,02414;-0,701079444444;0,522039814815
6,5;-0,060287;-0,642654444444;1,63614290123
6,55;-0,09053;-0,530360555556;2,58522530864
6,6;-0,114888;-0,376602777778;3,33548981481
6,65;-0,129706;-0,186615555556;3,82018888889
6,7;-0,134155;0,0188772222222;3,97164135802
6,75;-0,127837;0,224502222222;3,77587191358
6,8;-0,110871;0,409777222222;3,24792530864
6,85;-0,085423;0,559393888889;2,45731697531
6,9;-0,053189;0,663838333333;1,45587283951
6,95;-0,016731;0,710741666667;0,313405864198
7;0,020298;0,696779444444;-0,87185
7,05;0,055337;0,621936666667;-2,01036049383
7,1;0,084801;0,489809444444;-2,99211265432
7,15;0,106198;0,311395555556;-3,69530648148
7,2;0,116983;0,105957777778;-4,04425154321
7,25;0,117122;-0,107726111111;-4,02165216049
7,3;0,105817;-0,311118888889;-3,62925833333
7,35;0,084697;-0,482836111111;-2,92925185185
7,4;0,055891;-0,612779444444;-2,00237716049
7,45;0,021285;-0,689067777778;-0,921833950617
7,5;-0,015277;-0,707725555556;0,227377777778
7,55;-0,051891;-0,6661;1,36583395062
7,6;-0,084229;-0,566113333333;2,38266018519
7,65;-0,110265;-0,420264444444;3,20487407407
7,7;-0,127871;-0,235198333333;3,75929691358
7,75;-0,134571;-0,0303811111111;3,97162438272
7,8;-0,130935;0,175656111111;3,84316820988
7,85;-0,116376;0,366376111111;3,39858333333
7,9;-0,093006;0,525198888889;2,69508981481
7,95;-0,062434;0,645431666667;1,75346049383
8;-0,026166;0,708928333333;0,616923765432
8,05;0,011002;0,709463888889;-0,584669753086
8,1;0,047148;0,649056666667;-1,75156759259
8,15;0,078309;0,528975555556;-2,77724845679
8,2;0,101974;0,361006666667;-3,54690925926
8,25;0,115685;0,16077;-3,98298580247
8,3;0,118507;-0,0515872222222;-4,05855030864
8,35;0,110353;-0,259191111111;-3,77747777778
8,4;0,091605;-0,442472777778;-3,16581419753
8,45;0,064547;-0,586326666667;-2,2869787037
8,5;0,030962;-0,679193333333;-1,21249290123
8,55;-0,005877;-0,710657222222;-0,055837037037
8,6;-0,042404;-0,683265555556;1,07553580247
8,65;-0,076352;-0,600325;2,12858888889
8,7;-0,104587;-0,464334444444;3,01899938272
8,75;-0,124409;-0,287928888889;3,64906265432
8,8;-0,13438;-0,0862983333333;3,95530833333
8,85;-0,133238;0,121075;3,92266604938
8,9;-0,121881;0,318522222222;3,56900679012
8,95;-0,100346;0,489625;2,91932283951
9;-0,071332;0,620417777778;2,0189962963
9,05;-0,036241;0,699185;0,928562654321
9,1;0,001013;0,717092777778;-0,258512654321
9,15;0,037887;0,673516666667;-1,44679475309
9,2;0,070848;0,568185;-2,52510771605
9,25;0,096729;0,412015555556;-3,37887253086
9,3;0,113573;0,217865555556;-3,92283950617
9,35;0,119234;0,00518277777778;-4,10228611111
9,4;0,114075;-0,207001111111;-3,91100524691
9,45;0,097819;-0,400541111111;-3,35902839506
9,5;0,072389;-0,55446;-2,51933796296
9,55;0,040414;-0,659302222222;-1,49819537037
9,6;0,004233;-0,707800555556;-0,380213888889
9,65;-0,032623;-0,698377222222;0,762615432099
9,7;-0,067939;-0,630179444444;1,8608787037
9,75;-0,097905;-0,506092777778;2,7953395679
9,8;-0,120185;-0,339970555556;3,4433187037
9,85;-0,133117;-0,143770555556;3,64396259259
9,9;-0,135038;0,0481106666667;3,35708240741
9,95;-0,126365;0,203826111111;2,83099589506
10;-0,107669;0,306465555556;2,38783975309
