"Latest: Time (s)";"Latest: Position (m)";"Latest: Velocity (m/s)";"Latest: Acceleration (m/s²)"
0,05;0,029204;-0,0149344444444;-0,471054135802
0,1;0,029255;-0,0366080555556;-0,51866345679
0,15;0,026691;-0,0647463333333;-0,566241018519
0,2;0,022843;-0,094385;-0,586483611111
0,25;0,017315;-0,126591111111;-0,536800709877
0,3;0,009897;-0,151827222222;-0,402344938272
0,35;0,001769;-0,168344444444;-0,226541049383
0,4;-0,007329;-0,175075;-0,0315265432099
0,45;-0,016168;-0,171117222222;0,160066666667
0,5;-0,024694;-0,159350555556;0,353768209877
0,55;-0,032614;-0,135813888889;0,540755246914
0,6;-0,03868;-0,102818888889;0,675061728395
0,65;-0,042995;-0,06606;0,756268209877
0,7;-0,045439;-0,0256722222222;0,79439382716
0,75;-0,045578;0,0151738888889;0,785719135802
0,8;-0,043879;0,0546488888889;0,73339382716
0,85;-0,03998;0,0905866666667;0,635733024691
0,9;-0,034452;0,118645555556;0,523654320988
0,95;-0,02797;0,142380555556;0,414237037037
1;-0,02005;0,161057222222;0,279989197531
1,05;-0,011593;0,172381666667;0,104240740741
1,1;-0,002373;0,173185555556;-0,106056790123
1,15;0,006293;0,160937222222;-0,303234876543
1,2;0,013953;0,141453888889;-0,471173765432
1,25;0,020781;0,113288333333;-0,618702160494
1,3;0,025581;0,0780994444444;-0,727281481481
1,35;0,02877;0,0383672222222;-0,783210185185
1,4;0,029463;-0,00257833333333;-0,782218209877
1,45;0,028441;-0,0417827777778;-0,735987345679
1,5;0,025096;-0,0770111111111;-0,666926851852
1,55;0,020556;-0,108022777778;-0,595722222222
1,6;0,014317;-0,137612777778;-0,496342592593
1,65;0,006553;-0,160837777778;-0,333078703704
1,7;-0,002303;-0,172298333333;-0,13588117284
1,75;-0,011038;-0,174002777778;0,0597580246914
1,8;-0,02005;-0,166442777778;0,255330555556
1,85;-0,028161;-0,147633888889;0,431482716049
1,9;-0,035023;-0,12236;0,582885802469
1,95;-0,040777;-0,0883777777778;0,70537654321
2;-0,04407;-0,0492494444444;0,769338888889
2,05;-0,045682;-0,00969333333333;0,787208024691
2,1;-0,045144;0,0314183333333;0,75757962963
2,15;-0,042302;0,0676811111111;0,690197222222
2,2;-0,03823;0,100427777778;0,613294135802
2,25;-0,032164;0,129863888889;0,511309876543
2,3;-0,025024;0,153348888889;0,369297839506
2,35;-0,016514;0,168799444444;0,185385802469
2,4;-0,007607;0,172131111111;-0,00821080246913
2,45;0,001007;0,166887222222;-0,184633641975
2,5;0,009343;0,154012222222;-0,363051234568
2,55;0,016882;0,130304444444;-0,530284567901
2,6;0,022635;0,0995633333333;-0,663742901235
2,65;0,027107;0,0622555555556;-0,753420679012
2,7;0,029013;0,0215538888889;-0,781316358025
2,75;0,029186;-0,018035;-0,758422222222
2,8;0,027089;-0,0550416666667;-0,710412654321
2,85;0,023606;-0,089635;-0,643529012346
2,9;0,017991;-0,120565;-0,548279938272
2,95;0,011318;-0,145730555556;-0,421464814815
3;0,003156;-0,164001666667;-0,262329012346
3,05;-0,00544;-0,173198888889;-0,0740719135802
3,1;-0,014573;-0,172056666667;0,128490123457
3,15;-0,023083;-0,160137222222;0,32515617284
3,2;-0,031003;-0,138179444444;0,493810802469
3,25;-0,03712;-0,10947;0,630595061728
3,3;-0,042181;-0,0748022222222;0,746160185185
3,35;-0,045006;-0,0321077777778;0,798841666667
3,4;-0,045248;0,00853111111111;0,777575617284
3,45;-0,044018;0,0465594444444;0,72589845679
3,5;-0,0405;0,0816472222222;0,654823148148
3,55;-0,035699;0,112812777778;0,563565123457
3,6;-0,029027;0,139008333333;0,445319753086
3,65;-0,021575;0,158862222222;0,292566975309
3,7;-0,012771;0,16979;0,107472222222
3,75;-0,004106;0,169261666667;-0,0760635802469
3,8;0,004369;0,161886111111;-0,254535802469
3,85;0,012514;0,144034444444;-0,432087345679
3,9;0,019117;0,117712222222;-0,585463888889
3,95;0,024576;0,0839761111111;-0,701018209877
4;0,027713;0,0454544444444;-0,763767283951
4,05;0,029186;0,00524666666667;-0,771255864198
4,1;0,028146;-0,0332633333333;-0,738277777778
4,15;0,025755;-0,069255;-0,682557098765
4,2;0,021127;-0,102395;-0,602357407407
4,25;0,015339;-0,130860555556;-0,490449382716
4,3;0,007766;-0,152641666667;-0,349147530864
4,35;-0,000241;-0,166411666667;-0,188808333333
4,4;-0,009166;-0,172382222222;-0,00714537037037
4,45;-0,017901;-0,167798888889;0,189530864198
4,5;-0,026306;-0,15377;0,390111111111
4,55;-0,033793;-0,127852222222;0,568017592593
4,6;-0,039356;-0,0946744444444;0,693615432099
4,65;-0,043429;-0,056855;0,772857098765
4,7;-0,045266;-0,0146422222222;0,787705246914
4,75;-0,044711;0,0243505555556;0,747391358025
4,8;-0,042701;0,0604744444444;0,689022839506
4,85;-0,038576;0,0937205555556;0,614481790123
4,9;-0,033169;0,122853333333;0,517314506173
4,95;-0,026081;0,146569444444;0,391928395062
5;-0,018247;0,163358333333;0,23455308642
5,05;-0,009392;0,171225;0,0487061728395
5,1;-0,000726;0,168887222222;-0,150757716049
5,15;0,007939;0,155914444444;-0,343431481481
5,2;0,015287;0,132729444444;-0,498976851852
5,25;0,021335;0,104887222222;-0,624636728395
5,3;0,026101;0,069615;-0,72582037037
5,35;0,028476;0,0301283333333;-0,775162654321
5,4;0,029134;-0,0100705555556;-0,772735802469
5,45;0,027436;-0,0493322222222;-0,719593518519
5,5;0,023918;-0,082735;-0,643607407407
5,55;0,019117;-0,113842222222;-0,557538888889
5,6;0,012324;-0,139761666667;-0,442228703704
5,65;0,004854;-0,158701666667;-0,305498148148
5,7;-0,00369;-0,172292222222;-0,125280246914
5,75;-0,012944;-0,172937222222;0,0890765432099
5,8;-0,021436;-0,162571666667;0,290716975309
5,85;-0,029547;-0,142796666667;0,468784259259
5,9;-0,036046;-0,114623888889;0,616855864198
5,95;-0,04128;-0,0796811111111;0,725863271605
6;-0,044226;-0,0397788888889;0,778785185185
6,05;-0,0453;0,000985;0,76875154321
6,1;-0,043983;0,0390322222222;0,713728395062
6,15;-0,041158;0,0720533333333;0,653926234568
6,2;-0,036826;0,104625555556;0,582807407407
6,25;-0,0305;0,132201666667;0,472165432099
6,3;-0,023343;0,153298333333;0,328508950617
6,35;-0,014816;0,165905;0,16134537037
6,4;-0,006393;0,16932;-0,0104632716049
6,45;0,002324;0,165956111111;-0,202660185185
6,5;0,010781;0,149588888889;-0,401577777778
6,55;0,017644;0,124036111111;-0,56325617284
6,6;0,023432;0,0916966666667;-0,684297530864
6,65;0,027089;0,053215;-0,747712037037
6,7;0,028718;0,0147122222222;-0,758655246914
6,75;0,028562;-0,0237594444444;-0,739170987654
6,8;0,02624;-0,0600461111111;-0,695666975309
6,85;0,022445;-0,093545;-0,637690432099
6,9;0,016899;-0,125706111111;-0,536289506173
6,95;0,009516;-0,149660555556;-0,382691975309
7;0,001544;-0,164487222222;-0,211614506173
7,05;-0,00726;-0,170717222222;-0,0357188271605
