"Latest: Time (s)";"Latest: Position (m)";"Latest: Velocity (m/s)";"Latest: Acceleration (m/s²)"
0,05;-0,073012;-0,245378888889;1,57441555556
0,1;-0,0875;-0,177846111111;1,86732194444
0,15;-0,09549;-0,0742736666667;2,21105925926
0,2;-0,096027;0,0504844444444;2,41279117284
0,25;-0,090186;0,179807222222;2,35244469136
0,3;-0,077535;0,295765555556;2,03743876543
0,35;-0,059771;0,390082222222;1,54369876543
0,4;-0,037432;0,455956666667;0,907018518519
0,45;-0,012632;0,484224444444;0,189235493827
0,5;0,012532;0,474170555556;-0,522515740741
0,55;0,036084;0,429945555556;-1,1872095679
0,6;0,056828;0,352874444444;-1,77915308642
0,65;0,072512;0,247310555556;-2,24747469136
0,7;0,082374;0,121386111111;-2,54248919753
0,75;0,085164;-0,0161827777778;-2,61311388889
0,8;0,080537;-0,149503888889;-2,45266358025
0,85;0,069584;-0,26796;-2,11905185185
0,9;0,053016;-0,366908888889;-1,64315617284
0,95;0,031699;-0,436603888889;-1,05777685185
1;0,00813;-0,474998888889;-0,405760493827
1,05;-0,017086;-0,479583888889;0,301002777778
1,1;-0,041366;-0,445820555556;1,0172595679
1,15;-0,063203;-0,374773888889;1,65656666667
1,2;-0,080065;-0,273198888889;2,13511882716
1,25;-0,09114;-0,154226666667;2,43653641975
1,3;-0,09601;-0,0228455555556;2,56098580247
1,35;-0,093479;0,10978;2,4886787037
1,4;-0,084641;0,233103333333;2,23547376543
1,45;-0,069546;0,340033888889;1,81199567901
1,5;-0,049564;0,420101111111;1,24470432099
1,55;-0,026289;0,468501111111;0,578699074074
1,6;-0,001212;0,479603333333;-0,129210185185
1,65;0,023103;0,454542777778;-0,817665432099
1,7;0,045546;0,395715;-1,45187530864
1,75;0,063882;0,306238888889;-1,99691790123
1,8;0,077278;0,190085;-2,38979876543
1,85;0,083517;0,0584155555556;-2,56964012346
1,9;0,083188;-0,0757972222222;-2,52937808642
1,95;0,075615;-0,202148333333;-2,29420648148
2;0,062305;-0,311535555556;-1,89868487654
2,05;0,043484;-0,396705;-1,38233209877
2,1;0,021457;-0,45248;-0,785699691358
2,15;-0,002875;-0,478158888889;-0,116299074074
2,2;-0,027779;-0,467463333333;0,614828395062
2,25;-0,051366;-0,415539444444;1,31277469136
2,3;-0,070707;-0,329520555556;1,86659969136
2,35;-0,085039;-0,222467222222;2,26055401235
2,4;-0,09367;-0,0980455555556;2,50075771605
2,45;-0,095282;0,0358172222222;2,54076635802
2,5;-0,089805;0,164188888889;2,38128302469
2,55;-0,078367;0,280136111111;2,05558641975
2,6;-0,061037;0,375938888889;1,57324938272
2,65;-0,039633;0,443018888889;0,959437345679
2,7;-0,015284;0,474655;0,273405246914
2,75;0,009239;0,470322777778;-0,421302469136
2,8;0,033034;0,432171111111;-1,09935771605
2,85;0,053951;0,357833888889;-1,70680740741
2,9;0,06993;0,255504444444;-2,17162438272
2,95;0,080225;0,134026666667;-2,46770123457
3;0,083795;0,00129;-2,56992561728
3,05;0,080398;-0,131692777778;-2,4571191358
3,1;0,070156;-0,253181111111;-2,13569320988
3,15;0,054038;-0,350500555556;-1,67400802469
3,2;0,034195;-0,423488333333;-1,1242117284
3,25;0,010539;-0,466616111111;-0,485455246914
3,3;-0,01388;-0,474389444444;0,208301234568
3,35;-0,038282;-0,446608888889;0,914983950617
3,4;-0,060118;-0,380565555556;1,56060740741
3,45;-0,077535;-0,284391666667;2,06148364198
3,5;-0,089337;-0,167605555556;2,3909558642
3,55;-0,094831;-0,0378294444444;2,53013919753
3,6;-0,093167;0,0933027777778;2,47331049383
3,65;-0,085161;0,216446666667;2,2387095679
3,7;-0,070863;0,322995;1,84858271605
3,75;-0,052042;0,407280555556;1,31190030864
3,8;-0,028836;0,459511666667;0,653841049383
3,85;-0,004504;0,473487777778;-0,0359330246914
3,9;0,019724;0,45495;-0,710789197531
3,95;0,042357;0,401630555556;-1,35552685185
4;0,061178;0,316320555556;-1,91553796296
4,05;0,075077;0,204148333333;-2,32662685185
4,1;0,08227;0,0752466666667;-2,53260864198
4,15;0,082755;-0,0580305555556;-2,51935339506
4,2;0,076169;-0,18433;-2,31152469136
4,25;0,063726;-0,295503333333;-1,94144351852
4,3;0,045685;-0,383370555556;-1,44471080247
4,35;0,024299;-0,443489444444;-0,854735185185
4,4;8,80000000001E-05;-0,47161;-0,194559567901
4,45;-0,024226;-0,464795;0,505584567901
4,5;-0,047883;-0,420823333333;1,19216635802
4,55;-0,067743;-0,341602222222;1,78147962963
4,6;-0,083081;-0,23606;2,21202037037
4,65;-0,092023;-0,112975;2,45765617284
4,7;-0,094623;0,0167233333333;2,52067716049
4,75;-0,090394;0,146556666667;2,3961808642
4,8;-0,079407;0,263431111111;2,09211203704
4,85;-0,063324;0,361358333333;1,63842654321
4,9;-0,04232;0,433695555556;1,03515123457
4,95;-0,018386;0,468695;0,34269382716
5;0,006015;0,467096111111;-0,344732716049
5,05;0,02955;0,432803888889;-1,00019537037
5,1;0,050607;0,365338333333;-1,60116851852
5,15;0,067244;0,268931111111;-2,09860401235
5,2;0,078509;0,148455555556;-2,42313765432
5,25;0,082495;0,0173683333333;-2,52708364198
5,3;0,080138;-0,112139444444;-2,43130092593
5,35;0,070918;-0,232345555556;-2,16249166667
5,4;0,056187;-0,334227222222;-1,74409969136
5,45;0,036552;-0,411937222222;-1,19836512346
5,5;0,013675;-0,457322777778;-0,567102160494
5,55;-0,010431;-0,470136111111;0,107194444444
5,6;-0,034694;-0,447965;0,805025925926
5,65;-0,056773;-0,388126111111;1,45859783951
5,7;-0,074762;-0,296930555556;1,98771141975
5,75;-0,087396;-0,182157222222;2,34115061728
5,8;-0,093445;-0,0550933333333;2,5007037037
5,85;-0,093046;0,0754094444444;2,47029783951
5,9;-0,085611;0,198964444444;2,26081358025
5,95;-0,072544;0,307355555556;1,89573487654
6;-0,054087;0,394547222222;1,38109753086
6,05;-0,031852;0,450870555556;0,740600925926
6,1;-0,007503;0,470601111111;0,0461987654321
6,15;0,016587;0,45484;-0,639210493827
6,2;0,039307;0,405107777778;-1,28089907407
6,25;0,058405;0,323106666667;-1,8296132716
6,3;0,072564;0,2167;-2,24147469136
6,35;0,080779;0,0925555555556;-2,48583209877
6,4;0,0822;-0,0401794444444;-2,52308487654
6,45;0,076602;-0,168992777778;-2,33836820988
6,5;0,064592;-0,281176666667;-1,97398919753
6,55;0,047591;-0,370881111111;-1,48815679012
6,6;0,026413;-0,433077777778;-0,915927777778
6,65;0,003121;-0,464935;-0,277894444444
6,7;-0,021332;-0,463925;0,421927160494
6,75;-0,044936;-0,422932777778;1,11761512346
6,8;-0,065005;-0,347606666667;1,71020061728
6,85;-0,080707;-0,245845555556;2,15425524691
6,9;-0,090325;-0,125503888889;2,42555864198
6,95;-0,093653;0,00437777777778;2,5040558642
7;-0,089823;0,132877777778;2,38539290123
7,05;-0,079875;0,249609444444;2,09529814815
7,1;-0,064139;0,347893888889;1,6608808642
7,15;-0,044087;0,420583333333;1,10144753086
7,2;-0,020882;0,462271111111;0,442627160494
7,25;0,003641;0,467018333333;-0,26429382716
7,3;0,027366;0,433861666667;-0,933713888889
7,35;0,048146;0,37052;-1,52917160494
7,4;0,065563;0,27804;-2,03579074074
7,45;0,076984;0,161076666667;-2,39012314815
7,5;0,082252;0,0299822222222;-2,52936728395
7,55;0,079913;-0,100776666667;-2,44853117284
7,6;0,071802;-0,22195;-2,18453796296
7,65;0,057036;-0,325691111111;-1,76137654321
7,7;0,038059;-0,401622777778;-1,23810864198
7,75;0,015946;-0,452046666667;-0,639654012346
7,8;-0,008404;-0,469630555556;0,0447716049383
7,85;-0,03258;-0,449130555556;0,756282407407
7,9;-0,054867;-0,390938888889;1,40119074074
7,95;-0,072787;-0,303398888889;1,91544012346
8;-0,08601;-0,194482777778;2,29312006173
8,05;-0,093063;-0,0669316666667;2,48891697531
8,1;-0,092786;0,06346;2,4698712963
8,15;-0,086408;0,187083888889;2,27118518519
8,2;-0,073497;0,296178333333;1,92051851852
8,25;-0,055993;0,384246111111;1,43531728395
8,3;-0,03407;0,445652222222;0,814797530864
8,35;-0,009825;0,468965;0,118414506173
8,4;0,014265;0,456122777778;-0,561271604938
8,45;0,036968;0,411416111111;-1,204425
8,5;0,056742;0,333579444444;-1,78117932099
8,55;0,071455;0,228115555556;-2,2257941358
8,6;0,080346;0,103125555556;-2,47998950617
8,65;0,081992;-0,0284611111111;-2,52133148148
8,7;0,077365;-0,15659;-2,36691882716
8,75;0,065892;-0,272866666667;-2,02412839506
8,8;0,04903;-0,364430555556;-1,54303549383
8,85;0,028441;-0,43002;-0,977359567901
8,9;0,004854;-0,465063888889;-0,337637962963
8,95;-0,019391;-0,466123333333;0,352542592593
9;-0,043238;-0,430367222222;1,04775709877
9,05;-0,063931;-0,357875;1,66079506173
9,1;-0,080048;-0,258558888889;2,13343209877
9,15;-0,090654;-0,137807222222;2,43337685185
9,2;-0,094242;-0,00685611111111;2,52656697531
9,25;-0,091278;0,122911111111;2,42038302469
9,3;-0,081504;0,242027777778;2,1393632716
9,35;-0,066288;0,341720555556;1,72314938272
9,4;-0,046548;0,419592222222;1,17556975309
9,45;-0,022996;0,464416666667;0,511748765432
9,5;0,001405;0,472216111111;-0,192000617284
9,55;0,025633;0,444106666667;-0,87687191358
9,6;0,047106;0,382402222222;-1,50476049383
9,65;0,065078;0,290479444444;-2,04015493827
9,7;0,077313;0,171359444444;-2,40420740741
9,75;0,082599;0,0410627777778;-2,54782864198
9,8;0,081507;-0,0915461111111;-2,47593932099
9,85;0,073188;-0,216871666667;-2,16043802469
9,9;0,058943;-0,315486;-1,70573388889
9,95;0,040104;-0,384265;-1,2959037963
10;0,017505;-0,425986666667;-1,01790222222
