"Latest: Time (s)";"Latest: Position (m)";"Latest: Velocity (m/s)";"Latest: Acceleration (m/s²)"
0,05;-0,013754;-0,0900655555556;0,481338518519
0,1;-0,018808;-0,0708144444444;0,610518888889
0,15;-0,022461;-0,036744;0,767099259259
0,2;-0,023206;0,00991444444445;0,842235123457
0,25;-0,021284;0,0560144444444;0,742912530864
0,3;-0,01706;0,0899166666667;0,498463333333
0,35;-0,011745;0,108938333333;0,167562345679
0,4;-0,005444;0,109361111111;-0,217490432099
0,45;0,000252;0,085835;-0,567544135802
0,5;0,003731;0,047065;-0,792561419753
0,55;0,00522;0,00101666666667;-0,87562037037
0,6;0,003973;-0,0472327777778;-0,793178395062
0,65;9,00000000015E-06;-0,0845255555556;-0,560069135802
0,7;-0,005063;-0,106993888889;-0,231332407407
0,75;-0,011486;-0,109829444444;0,14702808642
0,8;-0,016973;-0,0906711111111;0,489760802469
0,85;-0,021076;-0,0573316666667;0,744453395062
0,9;-0,023275;-0,0110688888889;0,867756481481
0,95;-0,022253;0,0367888888889;0,817749691358
1;-0,019241;0,0767472222222;0,61937654321
1,05;-0,014013;0,102792222222;0,314250925926
1,1;-0,008248;0,110561666667;-0,0504481481481
1,15;-0,002172;0,0986244444444;-0,426444753086
1,2;0,002571;0,0647461111111;-0,723755864198
1,25;0,004753;0,0194955555556;-0,864888271605
1,3;0,004614;-0,0286233333333;-0,838287962963
1,35;0,001619;-0,0702533333333;-0,662279938272
1,4;-0,002916;-0,0992788888889;-0,374204012346
1,45;-0,009027;-0,110478888889;-0,0169530864198
1,5;-0,014775;-0,101534444444;0,351587962963
1,55;-0,019968;-0,0733083333333;0,666293209877
1,6;-0,022756;-0,0296738888889;0,852777777778
1,65;-0,023154;0,019255;0,865222222222
1,7;-0,020661;0,0641022222222;0,705219444444
1,75;-0,016108;0,0945411111111;0,423812654321
1,8;-0,010551;0,108332222222;0,0859679012346
1,85;-0,004613;0,104493333333;-0,278812654321
1,9;0,000805;0,0794038888889;-0,608959259259
1,95;0,003991;0,0385222222222;-0,819103703704
