I	U	I_err	U_err			mrjen A
0.00049	0.48	0.0001	0.1			0.49
0.00139	1.37	0.0001	0.1			1.39
0.00108	2.01	0.0001	0.1			1.08
0.00301	2.95	0.0001	0.1			3.01
0.00396	3.85	0.0001	0.1			3.96
0.00561	5.5	0.0001	0.1			5.61
0.0068	6.7	0.0001	0.1			6.80
0.0074	7.21	0.0001	0.1			7.40
0.009	8.79	0.0001	0.1			9.00
0.01	9.84	0.0001	0.1			10.00
