I	U	I_err	U_err			mrjen A
0.0213	1.4	0.0001	0.1			21.30
0.0385	2.52	0.0001	0.1			38.50
0.063	4.15	0.0001	0.1			63.00
0.077	5.01	0.0001	0.1			77
0.099	6.44	0.0003	0.3			99.00
0.1346	8.89	0.0003	0.3			134.60
0.1497	9.92	0.0003	0.3			149.70
0.173	11.35	0.0003	0.3			173.00
0.183	12	0.0003	0.3			183.00
