I	U	I_err	U_err			mrjen A
0.016	1.13	0.0001	0.1			16.00
0.0309	2.17	0.0001	0.1			30.90
0.0461	3.25	0.0001	0.1			46.10
0.06	4.22	0.0001	0.1			60
0.079	5.55	0.0001	0.1			79.00
0.094	6.59	0.0001	0.1			94.00
0.121	8.44	0.0001	0.1			121.00
0.128	9.05	0.0001	0.1			128.00
0.142	10.05	0.0001	0.1			142.00
0.147	11.8	0.0001	0.1			147
