n;F;l/m;C^2;C;F_err;ml _err;C2_err_%;C2_err;c_err
1;6.8;6.07E+03;41257.9591836735;203.120553326524;0.1;121.34693877551;0.0347058823529412;1431.89387755102;37.8403736444425
2;2.5;6.07E+03;15168.3673469388;123.159925896936;0.1;121.34693877551;0.06;910.102040816327;30.1678975206481
3;1.41;6.07E+03;8554.95918367347;92.4930223512751;0.02;121.34693877551;0.0341843971631206;292.44612244898;17.1010561793411
4;0.9;6.07E+03;5460.61224489796;73.8959555381616;0.02;121.34693877551;0.0422222222222222;230.559183673469;15.1841754360739
5;0.55;6.07E+03;3337.04081632653;57.7671257405675;0.02;121.34693877551;0.0563636363636364;188.087755102041;13.7145089267549
