0	0.0114	0.0174527777777778	0.001254	0.1	0.114
0.0872663888888889	0.0228	0.0174527777777778	0.002508	0.2	0.114
0.191986055555556	0.0342	0.0174527777777778	0.003762	0.3	0.114
0.296705722222222	0.0456	0.0174527777777778	0.005016	0.4	0.114
0.401425388888889	0.057	0.0174527777777778	0.00627	0.5	0.114
0.506145055555556	0.0684	0.0174527777777778	0.007524	0.6	0.114
					
					
					
					
					
					
					
		36	0	0	
		31	5	0.0872663888888889	
		25	11	0.191986055555556	
		19	17	0.296705722222222	
		13	23	0.401425388888889	
		7	29	0.506145055555556	
