"Latest: Time (s)";"Latest: Position (m)";"Latest: Velocity (m/s)";"Latest: Acceleration (m/s²)"
0,05;0,041938;0,488161111111;-1,63806740741
0,1;0,068407;0,420932222222;-2,05406592593
0,15;0,089146;0,309030333333;-2,61699240741
0,2;0,101438;0,156352777778;-3,11110444444
0,25;0,105142;-0,0171111111111;-3,31431598765
0,3;0,099741;-0,189801111111;-3,16137796296
0,35;0,085407;-0,344353888889;-2,72403549383
0,4;0,064097;-0,469298888889;-2,09231080247
0,45;0,037142;-0,55931;-1,3114787037
0,5;0,006397;-0,604834444444;-0,42415154321
0,55;-0,025179;-0,603565555556;0,503669444444
0,6;-0,055959;-0,553007777778;1,39338580247
0,65;-0,082238;-0,4584;2,14953796296
0,7;-0,102977;-0,331863888889;2,74498148148
0,75;-0,116619;-0,176617222222;3,14516820988
0,8;-0,121241;-0,00680611111111;3,28756635802
0,85;-0,117259;0,162751111111;3,16775
0,9;-0,104431;0,319321666667;2,80685709877
0,95;-0,084367;0,451347777778;2,23861141975
1;-0,058071;0,551041111111;1,48008611111
1,05;-0,027378;0,604813888889;0,58980308642
1,1;0,004302;0,611031111111;-0,337847839506
1,15;0,035515;0,570582777778;-1,25321265432
1,2;0,063231;0,483352222222;-2,09743333333
1,25;0,085546;0,354368333333;-2,77796759259
1,3;0,099845;0,195705;-3,21546882716
1,35;0,105748;0,0213422222222;-3,36955802469
1,4;0,10194;-0,152763888889;-3,23703302469
1,45;0,089839;-0,311677777778;-2,86095462963
1,5;0,069913;-0,447493888889;-2,26705185185
1,55;0,043548;-0,545514444444;-1,49740246914
1,6;0,013668;-0,600873333333;-0,628017592593
1,65;-0,018306;-0,610492777778;0,29372191358
1,7;-0,049346;-0,571228333333;1,2019058642
1,75;-0,07727;-0,486101111111;2,00935802469
1,8;-0,099394;-0,363839444444;2,655925
1,85;-0,114801;-0,212710555556;3,09985092593
1,9;-0,121397;-0,0438755555556;3,29384660494
1,95;-0,119285;0,127598888889;3,21947993827
2;-0,108153;0,287728333333;2,90028919753
2,05;-0,089613;0,425334444444;2,37617839506
2,1;-0,064476;0,532654444444;1,66771944444
2,15;-0,034701;0,5986;0,806130555556
2,2;-0,00264;0,615907222222;-0,12542345679
2,25;0,028746;0,585567222222;-1,05183765432
