"Latest: Time (s)";"Latest: Position (m)";"Latest: Velocity (m/s)";"Latest: Acceleration (m/s²)"
0,05;0,154949;-0,00474;0,0505380246914
0,1;0,154602;-0,00207833333333;0,0422957716049
0,15;0,15462;0,000539;0,0243592592593
0,2;0,154793;0,000952222222222;-0,00139098765432
0,25;0,154845;-0,000838333333333;-0,00562518518518
0,3;0,154585;-0,000684444444444;0,00913543209877
0,35;0,154689;0,000970555555556;0,00832592592592
0,4;0,154758;0,00123166666667;-0,0127067901235
0,45;0,154897;-0,000135555555555;-0,039200308642
0,5;0,154827;-0,00341444444444;-0,0540929012346
0,55;0,154464;-0,00556555555556;-0,0670077160494
0,6;0,154395;-0,00982166666667;-0,0916635802469
0,65;0,153529;-0,0143666666667;-0,166246604938
0,7;0,152732;-0,0190238888889;-0,451085493827
0,75;0,151918;-0,0390916666667;-1,15576141975
0,8;0,151572;-0,11926;-2,13705802469
0,85;0,143189;-0,266679444444;-2,81782654321
0,9;0,12549;-0,431128888889;-2,8432962963
0,95;0,099148;-0,576466111111;-2,25654259259
1;0,065757;-0,672168333333;-1,26254104938
1,05;0,0297;-0,71022;-0,070387037037
1,1;-0,008003;-0,68106;1,15460401235
1,15;-0,041203;-0,585675;2,17981728395
1,2;-0,068013;-0,450173888889;2,90934691358
1,25;-0,087323;-0,285067222222;3,3760382716
1,3;-0,097299;-0,101930555556;3,5609287037
1,35;-0,097645;0,0837461111111;3,43575030864
1,4;-0,088224;0,253355555556;3,02054907407
1,45;-0,071147;0,394088333333;2,38424506173
1,5;-0,047473;0,499135;1,56583703704
1,55;-0,019243;0,555644444444;0,629000617284
1,6;0,010095;0,562000555556;-0,319488580247
1,65;0,038705;0,522312777778;-1,22832283951
1,7;0,064268;0,435093333333;-2,02284475309
1,75;0,083699;0,311118888889;-2,59807530864
1,8;0,096307;0,163895555556;-2,89596080247
1,85;0,100343;0,00958388888889;-2,90105308642
1,9;0,096844;-0,135568333333;-2,66262438272
1,95;0,086193;-0,264616666667;-2,21870771605
2;0,069204;-0,364420555556;-1,60401111111
2,05;0,048335;-0,428851666667;-0,892227160494
2,1;0,024781;-0,454801666667;-0,147783024691
2,15;0,001297;-0,441821111111;0,56270308642
2,2;-0,020594;-0,396533888889;1,21991790123
2,25;-0,039714;-0,317561111111;1,80158641975
2,3;-0,053552;-0,209836666667;2,21777777778
2,35;-0,061328;-0,0862344444444;2,40176697531
2,4;-0,062332;0,0410188888889;2,3272095679
2,45;-0,056669;0,155580555556;2,02840401235
2,5;-0,045931;0,249521666667;1,5792382716
2,55;-0,030674;0,317006111111;1,03499845679
2,6;-0,013078;0,355043888889;0,439589814815
2,65;0,006094;0,361489444444;-0,167988888889
2,7;0,024313;0,336589444444;-0,736504938272
2,75;0,040766;0,285288888889;-1,23441450617
2,8;0,053911;0,208383333333;-1,60936666667
2,85;0,062172;0,117083888889;-1,80916481481
2,9;0,065826;0,0201694444444;-1,82879012346
2,95;0,063991;-0,0722655555556;-1,68410864198
3;0,058154;-0,153318888889;-1,41026512346
3,05;0,047971;-0,217281666667;-1,03804969136
3,1;0,035484;-0,258520555556;-0,621791049383
3,15;0,021404;-0,280178333333;-0,182855555556
3,2;0,00651;-0,277766666667;0,272429320988
3,25;-0,007311;-0,252076111111;0,703777469136
3,3;-0,019555;-0,204860555556;1,07211203704
3,35;-0,028457;-0,140808888889;1,33640617284
3,4;-0,034085;-0,0659844444444;1,46748981481
3,45;-0,035246;0,0128716666667;1,43549567901
3,5;-0,032371;0,0830361111111;1,26746604938
3,55;-0,026534;0,142590555556;1,01229475309
3,6;-0,017581;0,187648333333;0,676250925926
3,65;-0,006912;0,212261666667;0,293693209877
3,7;0,004466;0,216466111111;-0,0826027777778
3,75;0,015412;0,202793333333;-0,430268518519
3,8;0,025439;0,171715555556;-0,730339814815
3,85;0,033129;0,126918888889;-0,955345679012
3,9;0,038567;0,0719483333333;-1,07702006173
3,95;0,04042;0,0140733333333;-1,07724475309
4;0,039744;-0,0390911111111;-0,988433641975
4,05;0,036385;-0,0878127777778;-0,822443518519
4,1;0,03041;-0,123775;-0,597787962963
4,15;0,023551;-0,148116666667;-0,352813888889
4,2;0,015117;-0,159725;-0,0912564814815
4,25;0,007012;-0,157308333333;0,17035308642
4,3;-0,00111;-0,142119444444;0,416412962963
4,35;-0,007709;-0,114316111111;0,626215123457
4,4;-0,012922;-0,0769911111111;0,77219382716
4,45;-0,015658;-0,033705;0,833952160494
4,5;-0,016334;0,0104972222222;0,798492901235
4,55;-0,014359;0,0492905555556;0,684224691358
4,6;-0,011121;0,0807794444444;0,518984259259
4,65;-0,005908;0,102699444444;0,31700308642
4,7;-0,000366;0,11286;0,104804012346
4,75;0,005782;0,112698333333;-0,098237345679
4,8;0,011307;0,102154444444;-0,278987962963
4,85;0,016295;0,0838227777778;-0,429700617284
4,9;0,02007;0,0569322222222;-0,524527469136
4,95;0,022045;0,0281844444444;-0,545592283951
5;0,022859;-5,94444444446E-05;-0,506952469136
5,05;0,021854;-0,0240644444444;-0,428011728395
5,1;0,020261;-0,043325;-0,333628395062
5,15;0,017334;-0,05768;-0,231309259259
5,2;0,014269;-0,0665055555556;-0,125884259259
