V3.3.7.0 Spectrometer Data File
******************************************************
Spectrometer	_Tristan exUV-VIS-NIR (SN 1035)_200_1100_1035
Spectrum Name	REF-200_1100_1035-2008-4-24
Date of Measurement	2008-4-24 0:28:53
Number of Bands	1368
Spectrum Type	Irradiance
Integration Time (msec)	27,878
Cycles/Average	3
Resolution	3
Background Correction	FALSE
Dark Correction	TRUE
************ Start Spectral data *********************
Index	X:REF-200_1100_1035-2008-4-24	Y:REF-200_1100_1035-2008-4-24
301	474	2,059
302	474,6	2,091
303	475,2	2,11
304	475,8	2,128
305	476,3	2,191
306	476,9	2,239
307	477,5	2,288
308	478,1	2,34
309	478,7	2,33
310	479,2	2,28
311	479,8	2,285
312	480,4	2,289
313	481	2,377
314	481,6	2,434
315	482,1	2,415
316	482,7	2,418
317	483,3	2,421
318	483,9	2,384
319	484,5	2,443
320	485	2,502
321	485,6	2,497
322	486,2	2,535
323	486,8	2,573
324	487,4	2,581
325	487,9	2,585
326	488,5	2,589
327	489,1	2,547
328	489,7	2,451
329	490,3	2,459
330	490,8	2,467
331	491,4	2,512
332	492	2,46
333	492,6	2,372
334	493,2	2,382
335	493,7	2,393
336	494,3	2,519
337	494,9	2,579
338	495,5	2,613
339	496,1	2,634
340	496,6	2,761
341	497,2	2,865
342	497,8	2,828
343	498,4	2,778
344	499	2,733
345	499,5	2,748
346	500,1	2,763
347	500,7	2,773
348	501,3	2,787
349	501,9	2,802
350	502,4	2,911
351	503	3,031
352	503,6	3,008
353	504,2	3,063
354	504,8	3,119
355	505,3	3,164
356	505,9	3,161
357	506,5	3,158
358	507,1	3,124
359	507,6	3,006
360	508,2	2,997
361	508,8	3,052
362	509,4	3,107
363	510	3,056
364	510,5	2,938
365	511,1	2,982
366	511,7	3,026
367	512,3	3,137
368	512,9	3,144
369	513,4	3,151
370	514	3,253
371	514,6	3,35
372	515,2	3,429
373	515,8	3,397
374	516,3	3,434
375	516,9	3,471
376	517,5	3,611
377	518,1	3,472
378	518,7	3,416
379	519,2	3,368
380	519,8	3,358
381	520,4	3,352
382	521	3,341
383	521,6	3,369
384	522,1	3,398
385	522,7	3,486
386	523,3	3,57
387	523,9	3,657
388	524,5	3,682
389	525	3,707
390	525,6	3,91
391	526,2	3,895
392	526,8	3,758
393	527,4	3,773
394	527,9	3,788
395	528,5	3,826
396	529,1	3,912
397	529,7	4,027
398	530,3	3,965
399	530,8	3,917
400	531,4	3,868
401	532	3,86
402	532,6	3,915
403	533,2	3,969
404	533,7	4,03
405	534,3	4,151
406	534,9	4,279
407	535,5	4,291
408	536,1	4,46
409	536,6	4,451
410	537,2	4,186
411	537,8	4,288
412	538,4	4,39
413	539	4,409
414	539,5	4,272
415	540,1	4,205
416	540,7	4,212
417	541,3	4,22
418	541,9	4,395
419	542,4	4,436
420	543	4,555
421	543,6	4,753
422	544,2	4,863
423	544,8	4,921
424	545,3	4,877
425	545,9	4,837
426	546,5	4,831
427	547,1	4,647
428	547,7	4,769
429	548,2	4,892
430	548,8	5,229
431	549,4	5,312
432	550	5,113
433	550,6	5,219
434	551,2	5,326
435	551,8	5,382
436	552,3	5,122
437	552,9	4,978
438	553,5	5,006
439	554,1	5,035
440	554,7	5,107
441	555,3	5,26
442	555,8	5,275
443	556,4	5,29
444	557	5,54
445	557,6	5,713
446	558,2	5,748
447	558,8	5,73
448	559,4	5,738
449	559,9	5,747
450	560,5	5,584
451	561,1	5,615
452	561,7	5,647
453	562,3	6,207
454	562,9	6,202
455	563,5	5,774
456	564	5,751
457	564,6	5,88
458	565,2	6,009
459	565,8	6,232
460	566,4	6,292
461	567	5,833
462	567,5	5,668
463	568,1	5,661
464	568,7	5,654
465	569,3	5,629
466	569,9	5,807
467	570,5	5,986
468	571,1	6,308
469	571,6	6,336
470	572,2	6,364
471	572,8	6,689
472	573,4	7,007
473	574	7,281
474	574,6	7,527
475	575,1	7,171
476	575,7	7,048
477	576,3	7,072
478	576,9	7,096
479	577,5	7,168
480	578,1	7,192
481	578,7	7,476
482	579,2	7,699
483	579,8	7,398
484	580,4	7,169
485	581	6,904
486	581,6	6,934
487	582,2	6,963
488	582,7	7,479
489	583,3	7,593
490	583,9	7,756
491	584,5	8,116
492	585,1	8,356
493	585,7	8,98
494	586,3	9,115
495	586,8	8,718
496	587,4	8,212
497	588	8,252
498	588,6	8,292
499	589,2	8,492
500	589,8	8,53
501	590,3	8,547
502	590,9	8,563
503	591,5	8,622
504	592,1	8,681
505	592,7	9,057
506	593,3	9,051
507	593,9	9,239
508	594,4	9,428
509	595	9,415
510	595,6	9,085
511	596,2	9,01
512	596,8	9,083
513	597,4	9,156
514	597,9	9,377
515	598,5	9,44
516	599,1	9,583
517	599,7	9,725
518	600,3	10,15
519	600,9	10,17
520	601,5	10,07
521	602	9,974
522	602,6	9,576
523	603,2	9,498
524	603,8	9,73
525	604,4	9,962
526	605	10,02
527	605,6	10,13
528	606,1	10,25
529	606,7	10,46
530	607,3	10,36
531	607,9	10,13
532	608,5	10,16
533	609,1	10,19
534	609,6	10,18
535	610,2	10,26
536	610,8	10,35
537	611,4	10,38
538	612	9,981
539	612,6	10,02
540	613,2	10,06
541	613,7	10,08
542	614,3	10,12
543	614,9	10,16
544	615,5	10,34
545	616,1	10,31
546	616,7	10,68
547	617,2	11,05
548	617,8	11,56
549	618,4	12,11
550	619	12,7
551	619,6	12,56
552	620,2	12,11
553	620,8	12,01
554	621,3	12,05
555	621,9	12,09
556	622,5	12,6
557	623,1	12,88
558	623,7	12,21
559	624,3	11,96
560	624,8	11,93
561	625,4	11,89
562	626	11,52
563	626,6	11,4
564	627,2	11,46
565	627,8	11,53
566	628,4	11,87
567	628,9	11,46
568	629,5	11,31
569	630,1	11,53
570	630,7	11,74
571	631,3	11,78
572	631,9	11,7
573	632,4	11,62
574	633	11,51
575	633,6	11,77
576	634,2	12,03
577	634,8	12,76
578	635,4	12,78
579	636	12,42
580	636,5	12,35
581	637,1	12,29
582	637,7	12,58
583	638,3	12,86
584	638,9	13,38
585	639,5	13,51
586	640	13,63
587	640,6	13,33
588	641,2	12,88
589	641,8	12,46
590	642,4	12,43
591	643	12,59
592	643,6	12,75
593	644,1	13,24
594	644,7	13,28
595	645,3	13,43
596	645,9	14,26
597	646,5	14,07
598	647,1	14,1
