V3.3.7.0 Spectrometer Data File
******************************************************
Spectrometer	_Tristan exUV-VIS-NIR (SN 1035)_200_1100_1035
Spectrum Name	REF-200_1100_1035-2008-4-24
Date of Measurement	2008-4-24 1:39:43
Number of Bands	1368
Spectrum Type	Irradiance
Integration Time (msec)	29,589
Cycles/Average	3
Resolution	3
Background Correction	FALSE
Dark Correction	TRUE
************ Start Spectral data *********************
Index	X:REF-200_1100_1035-2008-4-24	Y:REF-200_1100_1035-2008-4-24
250	444,5	-0,004292
251	445	-0,005308
252	445,6	-0,003438
253	446,2	-0,004604
254	446,8	-0,005136
255	447,4	-0,005668
256	447,9	-0,004932
257	448,5	-0,004615
258	449,1	-0,004292
259	449,7	-0,004368
260	450,3	-0,00354
261	450,8	-0,004174
262	451,4	-0,004808
263	452	-0,003943
264	452,6	-0,004754
265	453,2	-0,004357
266	453,7	-0,004137
267	454,3	-0,005485
268	454,9	-0,006006
269	455,5	-0,005039
270	456,1	-0,00556
271	456,6	-0,004846
272	457,2	-0,005968
273	457,8	-0,006119
274	458,4	-0,006092
275	459	-0,006065
276	459,5	-0,004496
277	460,1	-0,004029
278	460,7	-0,003315
279	461,3	-0,004174
280	461,9	-0,005034
281	462,4	-0,003755
282	463	-0,004792
283	463,6	-0,004872
284	464,2	-0,005936
285	464,8	-0,002267
286	465,3	-0,004518
287	465,9	-0,004915
288	466,5	-0,004615
289	467,1	-0,004679
290	467,7	-0,006183
291	468,2	-0,007687
292	468,8	-0,005469
293	469,4	-0,00563
294	470	-0,005313
295	470,5	-0,004996
296	471,1	-0,007247
297	471,7	-0,005909
298	472,3	-0,004572
299	472,9	-0,004539
300	473,4	-0,004502
301	474	-0,004738
302	474,6	-0,003234
303	475,2	-0,006065
304	475,8	-0,003035
305	476,3	-0,002847
306	476,9	-0,00411
307	477,5	-0,005367
308	478,1	-0,005071
309	478,7	-0,004776
310	479,2	-0,005904
311	479,8	-0,005426
312	480,4	-0,007451
313	481	-0,004641
314	481,6	-0,003986
315	482,1	-0,003325
316	482,7	-0,002788
317	483,3	-0,00354
318	483,9	-0,004292
319	484,5	-0,003196
320	485	-0,0021
321	485,6	-0,002122
322	486,2	-0,001628
323	486,8	-0,004539
324	487,4	-0,003524
325	487,9	-0,003873
326	488,5	-0,004222
327	489,1	-0,004996
328	489,7	-0,00577
329	490,3	-0,005163
330	490,8	-0,00512
331	491,4	-0,005383
332	492	-0,00325
333	492,6	-0,004717
334	493,2	-0,004341
335	493,7	-0,003959
336	494,3	-0,003594
337	494,9	-0,004491
338	495,5	-0,005388
339	496,1	-0,005942
340	496,6	-0,004335
341	497,2	-0,003873
342	497,8	-0,004577
343	498,4	-0,005281
344	499	-0,004545
345	499,5	-0,005823
346	500,1	-0,004513
347	500,7	-0,006162
348	501,3	-0,005523
349	501,9	-0,004878
350	502,4	-0,008262
351	503	-0,008321
352	503,6	-0,007204
353	504,2	-0,006081
354	504,8	-0,005555
355	505,3	-0,006006
356	505,9	-0,003873
357	506,5	-0,004846
358	507,1	-0,004921
359	507,6	-0,005985
360	508,2	-0,004835
361	508,8	-0,005367
362	509,4	-0,001682
363	510	-0,003701
364	510,5	-0,003519
365	511,1	-0,004018
366	511,7	-0,004513
367	512,3	-0,005125
368	512,9	-0,005818
369	513,4	-0,005517
370	514	-0,006269
371	514,6	-0,005646
372	515,2	-0,005023
373	515,8	-0,00448
374	516,3	-0,003938
375	516,9	-0,006355
376	517,5	-0,005313
377	518,1	-0,004958
378	518,7	-0,004953
379	519,2	-0,005625
380	519,8	-0,005576
381	520,4	-0,005528
382	521	-0,006285
383	521,6	-0,00542
384	522,1	-0,004556
385	522,7	-0,004222
386	523,3	-0,00599
387	523,9	-0,005882
388	524,5	-0,005807
389	525	-0,005732
390	525,6	-0,005061
391	526,2	-0,008418
392	526,8	-0,007478
393	527,4	-0,006532
394	527,9	-0,004593
395	528,5	-0,006823
396	529,1	-0,006339
397	529,7	-0,00585
398	530,3	-0,006447
399	530,8	-0,006097
400	531,4	-0,005743
401	532	-0,0052
402	532,6	-0,004658
403	533,2	-0,006361
404	533,7	-0,003691
405	534,3	-0,003535
406	534,9	-0,004695
407	535,5	-0,002793
408	536,1	-0,005071
409	536,6	-0,003341
410	537,2	-0,005463
411	537,8	-0,00758
412	538,4	-0,005641
413	539	-0,005146
414	539,5	-0,005249
415	540,1	-0,005146
416	540,7	-0,005044
417	541,3	-0,004459
418	541,9	-0,004298
419	542,4	-0,006092
420	543	-0,00577
421	543,6	-0,005442
422	544,2	-0,007322
423	544,8	-0,007231
424	545,3	-0,007134
425	545,9	-0,007048
426	546,5	-0,006957
427	547,1	-0,006323
428	547,7	-0,005689
429	548,2	-0,001542
430	548,8	-0,001757
431	549,4	-0,001972
432	550	-0,003202
433	550,6	-0,003057
434	551,2	-0,002912
435	551,8	-0,003739
436	552,3	-0,004561
437	552,9	-0,005152
438	553,5	-0,004427
439	554,1	-0,004002
440	554,7	-0,004051
441	555,3	-0,003358
442	555,8	-0,004405
443	556,4	-0,003846
444	557	-0,004921
445	557,6	-0,005995
446	558,2	-0,004325
447	558,8	-0,005211
448	559,4	-0,003427
449	559,9	-0,003599
450	560,5	-0,003922
451	561,1	-0,00281
452	561,7	-0,001698
453	562,3	-0,003589
454	562,9	-0,003675
455	563,5	-0,004523
456	564	-0,004137
457	564,6	-0,005356
458	565,2	-0,00289
459	565,8	-0,003051
460	566,4	-0,003245
461	567	-0,00354
462	567,5	-0,00383
463	568,1	-0,004609
464	568,7	-0,00238
465	569,3	-0,004169
466	569,9	-0,004717
467	570,5	-0,003793
468	571,1	-0,004018
469	571,6	-0,003734
470	572,2	-0,004599
471	572,8	-0,005463
472	573,4	-0,006989
473	574	-0,007145
474	574,6	-0,003954
475	575,1	-0,00483
476	575,7	-0,005168
477	576,3	-0,003777
478	576,9	-0,005582
479	577,5	-0,002901
480	578,1	-0,004776
481	578,7	-0,004572
482	579,2	-0,004362
483	579,8	-0,005732
484	580,4	-0,003315
485	581	-0,00397
486	581,6	-0,003863
487	582,2	-0,003889
488	582,7	-0,003981
489	583,3	-0,003852
490	583,9	-0,005506
491	584,5	-0,007156
492	585,1	-0,006871
493	585,7	-0,006581
494	586,3	-0,004174
495	586,8	-0,005034
496	587,4	-0,003293
497	588	-0,003105
498	588,6	-0,002917
499	589,2	-0,002605
500	589,8	-0,003524
501	590,3	-0,004437
502	590,9	-0,003948
503	591,5	-0,005576
504	592,1	-0,005759
505	592,7	-0,00607
506	593,3	-0,003347
507	593,9	-0,005415
508	594,4	-0,004733
509	595	-0,004051
510	595,6	-0,004131
511	596,2	-0,003282
512	596,8	-0,003438
513	597,4	-0,00281
514	597,9	-0,002987
515	598,5	-0,002906
516	599,1	-0,002933
517	599,7	-0,004738
518	600,3	-0,005034
519	600,9	-0,008483
520	601,5	-0,008945
521	602	-0,006785
522	602,6	-0,006253
523	603,2	-0,006404
524	603,8	-0,004851
525	604,4	-0,006506
526	605	-0,005415
527	605,6	-0,004319
528	606,1	-0,003938
529	606,7	-0,003669
530	607,3	-0,004851
531	607,9	-0,006033
532	608,5	-0,006081
533	609,1	-0,005163
534	609,6	-0,005184
535	610,2	-0,005759
536	610,8	-0,004373
537	611,4	-0,002987
538	612	-0,004921
539	612,6	-0,005195
540	613,2	-0,002267
541	613,7	-0,001805
542	614,3	-0,004303
543	614,9	-0,006801
544	615,5	-0,006565
545	616,1	-0,006414
546	616,7	-0,006258
547	617,2	-0,007166
548	617,8	-0,005034
549	618,4	-0,006796
550	619	-0,006898
551	619,6	-0,002815
552	620,2	-0,003814
553	620,8	-0,002912
554	621,3	-0,004985
555	621,9	-0,003841
556	622,5	-0,002691
557	623,1	-0,0026
558	623,7	-0,004222
559	624,3	-0,005845
560	624,8	-0,004674
561	625,4	-0,005415
562	626	-0,003814
563	626,6	-0,008166
564	627,2	-0,006296
565	627,8	-0,004421
566	628,4	-0,004276
567	628,9	-0,004953
568	629,5	-0,004996
569	630,1	-0,003889
570	630,7	-0,003948
571	631,3	-0,005834
572	631,9	-0,006774
573	632,4	-0,00491
574	633	-0,003046
575	633,6	-0,006275
576	634,2	-0,005882
577	634,8	-0,007032
578	635,4	-0,006468
579	636	-0,006307
580	636,5	-0,006339
581	637,1	-0,006806
582	637,7	-0,005012
583	638,3	-0,005861
584	638,9	-0,00411
585	639,5	-0,003298
586	640	-0,005383
587	640,6	-0,005904
588	641,2	-0,006425
589	641,8	-0,005222
590	642,4	-0,005372
591	643	-0,006565
592	643,6	-0,004056
593	644,1	-0,003981
594	644,7	-0,004153
595	645,3	-0,005372
596	645,9	-0,004991
597	646,5	-0,005356
598	647,1	-0,005334
599	647,6	-0,007596
600	648,2	-0,006232
601	648,8	-0,005437
602	649,4	-0,006146
603	650	-0,005743
604	650,6	-0,005501
605	651,2	-0,006549
606	651,7	-0,005023
607	652,3	-0,004878
608	652,9	-0,004733
609	653,5	-0,004126
610	654,1	-0,00383
611	654,7	-0,004362
612	655,3	-0,002654
613	655,8	-0,004824
614	656,4	-0,004615
615	657	-0,005727
616	657,6	-0,004722
617	658,2	-0,003717
618	658,8	-0,004846
619	659,3	-0,003476
620	659,9	-0,004856
621	660,5	-0,006237
622	661,1	-0,004824
623	661,7	-0,005485
624	662,3	-0,00614
625	662,9	-0,005641
626	663,4	-0,005141
627	664	-0,006753
628	664,6	-0,006678
629	665,2	-0,006597
630	665,8	-0,00491
631	666,4	-0,00679
632	666,9	-0,005044
633	667,5	-0,003293
634	668,1	-0,005163
635	668,7	-0,004566
636	669,3	-0,006731
637	669,9	-0,005324
638	670,5	-0,007413
639	671	-0,009498
640	671,6	-0,005668
641	672,2	-0,006011
642	672,8	-0,005077
643	673,4	-0,004684
644	674	-0,007231
645	674,5	-0,005227
646	675,1	-0,005367
647	675,7	-0,006291
648	676,3	-0,005818
649	676,9	-0,005345
650	677,5	-0,005931
651	678,1	-0,006516
652	678,6	-0,005678
653	679,2	-0,00484
654	679,8	-0,005533
655	680,4	-0,006226
656	681	-0,005528
657	681,6	-0,00483
658	682,1	-0,004373
659	682,7	-0,004958
660	683,3	-0,005539
661	683,9	-0,004803
662	684,5	-0,00548
663	685,1	-0,005243
664	685,7	-0,005001
665	686,2	-0,004067
666	686,8	-0,004051
667	687,4	-0,005098
668	688	-0,004217
669	688,6	-0,003336
670	689,2	-0,003288
671	689,7	-0,004599
672	690,3	-0,004421
673	690,9	-0,004244
674	691,5	-0,00447
675	692,1	-0,006468
676	692,7	-0,005345
677	693,3	-0,007225
678	693,8	-0,007268
679	694,4	-0,005721
680	695	-0,005426
681	695,6	-0,00513
682	696,2	-0,006022
683	696,8	-0,005195
684	697,4	-0,005254
685	697,9	-0,007172
686	698,5	-0,007075
687	699,1	-0,006973
688	699,7	-0,005442
689	700,3	-0,005329
690	700,9	-0,005442
691	701,4	-0,004942
692	702	-0,004443
693	702,6	-0,002584
694	703,2	-0,003035
695	703,8	-0,003481
696	704,4	-0,004045
697	705	-0,004604
698	705,5	-0,005619
699	706,1	-0,006635
700	706,7	-0,006876
701	707,3	-0,006962
702	707,9	-0,007677
703	708,5	-0,007972
704	709	-0,006232
705	709,6	-0,009321
706	710,2	-0,008203
707	710,8	-0,007526
708	711,4	-0,006844
709	712	-0,004706
710	712,6	-0,002568
711	713,1	-0,005759
712	713,7	-0,004368
713	714,3	-0,007526
714	714,9	-0,005506
715	715,5	-0,007462
716	716,1	-0,003626
717	716,6	-0,004803
718	717,2	-0,003771
719	717,8	-0,002734
720	718,4	-0,00246
721	719	-0,003524
722	719,6	-0,004588
723	720,2	-0,006882
724	720,7	-0,004212
725	721,3	-0,003868
726	721,9	-0,007553
727	722,5	-0,004341
728	723,1	-0,005592
729	723,7	-0,00159
730	724,2	-0,002836
731	724,8	-0,004083
732	725,4	-0,005388
733	726	-0,004475
734	726,6	-0,004486
735	727,2	-0,005012
736	727,8	-0,004496
737	728,3	-0,003981
738	728,9	-0,005936
739	729,5	-0,007892
740	730,1	-0,008982
741	730,7	-0,006994
742	731,3	-0,006092
743	731,8	-0,00715
744	732,4	-0,004658
745	733	-0,004421
746	733,6	-0,007059
747	734,2	-0,008235
748	734,8	-0,006194
749	735,4	-0,005775
750	735,9	-0,005931
751	736,5	-0,00794
752	737,1	-0,008268
753	737,7	-0,00837
754	738,3	-0,008402
755	738,9	-0,007773
756	739,5	-0,00714
757	740	-0,007177
758	740,6	-0,00541
759	741,2	-0,01035
760	741,8	-0,009648
761	742,4	-0,008945
762	743	-0,007913
763	743,5	-0,006876
764	744,1	-0,007671
765	744,7	-0,008466
766	745,3	-0,007693
767	745,9	-0,009471
768	746,5	-0,007666
769	747,1	-0,007908
770	747,6	-0,01049
771	748,2	-0,01004
772	748,8	-0,009589
773	749,4	-0,007763
774	750	-0,007865
775	750,6	-0,00614
776	751,1	-0,006409
777	751,7	-0,006301
778	752,3	-0,006189
779	752,9	-0,007043
780	753,5	-0,007892
781	754,1	-0,004883
782	754,7	-0,0039
783	755,2	-0,002917
784	755,8	-0,007666
785	756,4	-0,007328
786	757	-0,006984
787	757,6	-0,008799
788	758,2	-0,008423
789	758,7	-0,008047
790	759,3	-0,01234
791	759,9	-0,01015
792	760,5	-0,007951
793	761,1	-0,008902
794	761,7	-0,009852
795	762,3	-0,008993
796	762,9	-0,0108
797	763,4	-0,007285
798	764	-0,01091
799	764,6	-0,007714
800	765,2	-0,004518
801	765,8	-0,006269
802	766,4	-0,006151
803	767	-0,006957
804	767,6	-0,00549
805	768,1	-0,004024
806	768,7	-0,002788
807	769,3	-0,0002203
808	769,9	-0,002407
809	770,5	-0,004588
810	771,1	-0,005839
811	771,7	-0,006715
812	772,3	-0,003895
813	772,9	-0,008332
814	773,4	-0,005055
815	774	-0,007177
816	774,6	-0,006774
817	775,2	-0,006994
818	775,8	-0,009697
819	776,4	-0,009718
820	777	-0,008767
821	777,6	-0,007811
822	778,1	-0,007048
823	778,7	-0,009095
824	779,3	-0,006914
825	779,9	-0,004727
826	780,5	-0,004593
827	781,1	-0,006527
828	781,7	-0,00599
829	782,3	-0,006973
830	782,9	-0,007199
831	783,4	-0,00549
832	784	-0,004969
833	784,6	-0,01027
834	785,2	-0,01074
835	785,8	-0,009922
836	786,4	-0,0091
837	787	-0,008681
838	787,6	-0,008257
839	788,1	-0,01095
840	788,7	-0,009492
841	789,3	-0,01031
842	789,9	-0,005265
843	790,5	-0,007795
844	791,1	-0,008477
845	791,7	-0,007258
846	792,3	-0,007569
847	792,8	-0,006242
848	793,4	-0,00491
849	794	-0,00628
850	794,6	-0,007644
851	795,2	-0,00556
852	795,8	-0,005646
853	796,4	-0,00224
854	797	-0,00527
855	797,6	-0,0083
856	798,1	-0,007295
857	798,7	-0,006737
858	799,3	-0,008327
859	799,9	-0,009917
860	800,5	-0,008622
861	801,1	-0,01118
862	801,7	-0,005786
863	802,3	-0,008192
864	802,8	-0,006849
865	803,4	-0,005506
866	804	-0,006097
867	804,6	-0,006688
868	805,2	-0,006221
869	805,8	-0,007542
870	806,4	-0,00744
871	807	-0,007714
872	807,6	-0,0114
873	808,1	-0,008278
874	808,7	-0,008515
875	809,3	-0,007833
876	809,9	-0,009595
877	810,5	-0,01136
878	811,1	-0,01081
879	811,7	-0,01027
880	812,3	-0,01113
881	812,8	-0,01199
882	813,4	-0,009766
883	814	-0,01546
884	814,6	-0,01253
885	815,2	-0,01311
886	815,8	-0,011
887	816,4	-0,008891
888	817	-0,007569
889	817,5	-0,006323
890	818,1	-0,006495
891	818,7	-0,01067
892	819,3	-0,0124
893	819,9	-0,007424
894	820,5	-0,008112
895	821,1	-0,008799
896	821,7	-0,01215
897	822,3	-0,01571
898	822,8	-0,01203
899	823,4	-0,008343
900	824	-0,01006
901	824,6	-0,007537
902	825,2	-0,008724
903	825,8	-0,009912
904	826,4	-0,0044
905	827	-0,004679
906	827,5	-0,007816
907	828,1	-0,008918
908	828,7	-0,005361
909	829,3	-0,005093
910	829,9	-0,006688
911	830,5	-0,006301
912	831,1	-0,007161
913	831,7	-0,008021
914	832,2	-0,006935
915	832,8	-0,008869
916	833,4	-0,008988
917	834	-0,01129
918	834,6	-0,0112
919	835,2	-0,0111
920	835,8	-0,0044
921	836,4	-0,006301
922	837	-0,006661
923	837,5	-0,005856
924	838,1	-0,005044
925	838,7	-0,006882
