V3.3.7.0 Spectrometer Data File
******************************************************
Spectrometer	_Tristan exUV-VIS-NIR (SN 1035)_200_1100_1035
Spectrum Name	REF-200_1100_1035-2008-4-24
Date of Measurement	2008-4-24 0:51:49
Number of Bands	1368
Spectrum Type	Irradiance
Integration Time (msec)	792,986
Cycles/Average	3
Resolution	3
Background Correction	FALSE
Dark Correction	TRUE
************ Start Spectral data *********************
Index	X:REF-200_1100_1035-2008-4-24	Y:REF-200_1100_1035-2008-4-24
276	459,5	0,9259
277	460,1	0,9489
278	460,7	0,9603
279	461,3	0,9803
280	461,9	0,9916
281	462,4	1,026
282	463	1,062
283	463,6	1,062
284	464,2	1,076
285	464,8	1,09
286	465,3	1,087
287	465,9	1,074
288	466,5	1,094
289	467,1	1,115
290	467,7	1,154
291	468,2	1,129
292	468,8	1,138
293	469,4	1,147
294	470	1,119
295	470,5	1,136
296	471,1	1,153
297	471,7	1,174
298	472,3	1,236
299	472,9	1,239
300	473,4	1,242
301	474	1,25
302	474,6	1,258
303	475,2	1,258
304	475,8	1,27
305	476,3	1,283
306	476,9	1,3
307	477,5	1,375
308	478,1	1,428
309	478,7	1,472
310	479,2	1,448
311	479,8	1,424
312	480,4	1,473
313	481	1,521
314	481,6	1,54
315	482,1	1,503
316	482,7	1,501
317	483,3	1,498
318	483,9	1,5
319	484,5	1,503
320	485	1,564
321	485,6	1,573
322	486,2	1,586
323	486,8	1,6
324	487,4	1,587
325	487,9	1,613
326	488,5	1,64
327	489,1	1,648
328	489,7	1,64
329	490,3	1,648
330	490,8	1,655
331	491,4	1,74
332	492	1,692
333	492,6	1,63
334	493,2	1,651
335	493,7	1,673
336	494,3	1,737
337	494,9	1,773
338	495,5	1,812
339	496,1	1,86
340	496,6	1,931
341	497,2	1,947
342	497,8	1,95
343	498,4	1,956
344	499	1,953
345	499,5	1,971
346	500,1	1,989
347	500,7	2,021
348	501,3	2,022
349	501,9	2,024
350	502,4	2,07
351	503	2,2
352	503,6	2,187
353	504,2	2,234
354	504,8	2,28
355	505,3	2,294
356	505,9	2,317
357	506,5	2,358
358	507,1	2,317
359	507,6	2,231
360	508,2	2,254
361	508,8	2,278
362	509,4	2,342
363	510	2,357
364	510,5	2,261
365	511,1	2,283
366	511,7	2,305
367	512,3	2,414
368	512,9	2,442
369	513,4	2,503
370	514	2,564
371	514,6	2,645
372	515,2	2,675
373	515,8	2,704
374	516,3	2,754
375	516,9	2,806
376	517,5	2,911
377	518,1	2,793
378	518,7	2,781
379	519,2	2,757
380	519,8	2,733
381	520,4	2,745
382	521	2,757
383	521,6	2,757
384	522,1	2,853
385	522,7	2,923
386	523,3	2,996
387	523,9	3,013
388	524,5	3,101
389	525	3,13
390	525,6	3,303
391	526,2	3,308
392	526,8	3,194
393	527,4	3,211
394	527,9	3,227
395	528,5	3,284
396	529,1	3,322
397	529,7	3,428
398	530,3	3,407
399	530,8	3,365
400	531,4	3,331
401	532	3,335
402	532,6	3,339
403	533,2	3,421
404	533,7	3,46
405	534,3	3,565
406	534,9	3,711
407	535,5	3,718
408	536,1	3,816
409	536,6	3,847
410	537,2	3,709
411	537,8	3,776
412	538,4	3,843
413	539	3,847
414	539,5	3,705
415	540,1	3,607
416	540,7	3,644
417	541,3	3,681
418	541,9	3,865
419	542,4	3,92
420	543	4,047
421	543,6	4,174
422	544,2	4,364
423	544,8	4,343
424	545,3	4,32
425	545,9	4,297
426	546,5	4,292
427	547,1	4,085
428	547,7	4,177
429	548,2	4,27
430	548,8	4,532
431	549,4	4,685
432	550	4,583
433	550,6	4,71
434	551,2	4,837
435	551,8	4,915
436	552,3	4,639
437	552,9	4,446
438	553,5	4,483
439	554,1	4,521
440	554,7	4,589
441	555,3	4,748
442	555,8	4,721
443	556,4	4,857
444	557	4,994
445	557,6	5,179
446	558,2	5,213
447	558,8	5,194
448	559,4	5,263
449	559,9	5,331
450	560,5	5,126
451	561,1	5,119
452	561,7	5,371
453	562,3	5,624
454	562,9	5,643
455	563,5	5,199
456	564	5,17
457	564,6	5,337
458	565,2	5,504
459	565,8	5,715
460	566,4	5,749
461	567	5,429
462	567,5	5,041
463	568,1	5,106
464	568,7	5,172
465	569,3	5,128
466	569,9	5,26
467	570,5	5,392
468	571,1	5,585
469	571,6	5,571
470	572,2	5,679
471	572,8	5,787
472	573,4	6,132
473	574	6,37
474	574,6	6,495
475	575,1	6,135
476	575,7	6,031
477	576,3	6,112
478	576,9	6,193
479	577,5	6,21
480	578,1	6,223
481	578,7	6,236
482	579,2	6,335
483	579,8	6,27
484	580,4	6,18
485	581	6,002
486	581,6	5,859
487	582,2	5,891
488	582,7	5,922
489	583,3	6,152
490	583,9	6,53
491	584,5	7,033
492	585,1	7,332
493	585,7	7,686
494	586,3	7,54
495	586,8	7,346
496	587,4	7,052
497	588	7,092
498	588,6	7,132
499	589,2	7,353
500	589,8	7,545
501	590,3	7,558
502	590,9	7,571
503	591,5	7,583
504	592,1	7,832
505	592,7	8,151
506	593,3	7,965
507	593,9	7,99
508	594,4	8,014
509	595	8,161
510	595,6	8,054
511	596,2	8,024
512	596,8	8,207
513	597,4	8,391
514	597,9	8,47
515	598,5	8,403
516	599,1	8,42
517	599,7	8,438
518	600,3	8,632
519	600,9	8,724
520	601,5	8,738
521	602	8,766
522	602,6	8,571
523	603,2	8,63
524	603,8	8,689
525	604,4	9,08
526	605	8,947
527	605,6	9,041
528	606,1	9,134
529	606,7	9,27
530	607,3	9,241
531	607,9	8,914
532	608,5	8,957
533	609,1	9
534	609,6	9,087
535	610,2	9,248
536	610,8	9,441
537	611,4	9,569
538	612	9,226
539	612,6	9,269
540	613,2	9,313
541	613,7	9,404
542	614,3	9,318
543	614,9	9,353
544	615,5	9,389
545	616,1	9,339
546	616,7	9,737
547	617,2	10,14
548	617,8	10,77
549	618,4	11,3
550	619	11,86
551	619,6	11,68
552	620,2	11,37
553	620,8	11,3
554	621,3	11,42
555	621,9	11,53
556	622,5	12,02
557	623,1	12,14
558	623,7	11,54
559	624,3	11,07
560	624,8	11,12
561	625,4	11,16
562	626	10,84
563	626,6	10,79
564	627,2	10,88
565	627,8	10,97
566	628,4	11,33
567	628,9	11,06
568	629,5	10,94
569	630,1	11,16
570	630,7	11,38
571	631,3	11,41
572	631,9	11,39
573	632,4	11,37
574	633	11,31
575	633,6	11,54
576	634,2	11,77
577	634,8	12,57
578	635,4	12,49
579	636	12,07
580	636,5	12,03
581	637,1	11,98
582	637,7	12,25
583	638,3	12,53
584	638,9	13,07
585	639,5	13,13
586	640	13,37
587	640,6	13,05
588	641,2	12,69
589	641,8	12,46
590	642,4	12,22
591	643	12,39
592	643,6	12,56
593	644,1	13,02
594	644,7	13,18
595	645,3	13,29
596	645,9	14
597	646,5	13,9
